Frequency,Date,ETF Index,Underlying Index
Daily,02/06/2009,60,1361.36
Daily,03/06/2009,56.41,1338
Daily,04/06/2009,57.27,1328.86
Daily,05/06/2009,55.72,1321.77
Daily,08/06/2009,55.48,1304.66
Daily,09/06/2009,56.84,1318.51
Daily,10/06/2009,57.05,1337.32
Daily,11/06/2009,59,1352.63
Daily,12/06/2009,58.38,1347.5
Daily,15/06/2009,54.2,1310.36
Daily,16/06/2009,52.94,1304.56
Daily,17/06/2009,53.23,1289.03
Daily,18/06/2009,53.05,1293.36
Daily,19/06/2009,54.72,1305.8
Daily,22/06/2009,51.2,1281.22
Daily,23/06/2009,52.55,1274.95
Daily,24/06/2009,52.64,1299.09
Daily,25/06/2009,54.86,1288.25
Daily,26/06/2009,54.74,1305.82
Daily,29/06/2009,55.56,1313.93
Daily,30/06/2009,54.26,1307.16
Daily,01/07/2009,56.09,1325.58
Daily,02/07/2009,52.78,1295.15
Daily,06/07/2009,52.79,1276.06
Daily,07/07/2009,50.4,1272.48
Daily,08/07/2009,49.75,1251.65
Daily,09/07/2009,51.2,1261.18
Daily,10/07/2009,50,1251.92
Daily,13/07/2009,51.75,1256.96
Daily,14/07/2009,52.3,1277.72
Daily,15/07/2009,55.87,1310.08
Daily,16/07/2009,56.85,1320.25
Daily,17/07/2009,56.41,1325.05
Daily,20/07/2009,58.62,1344.06
Daily,21/07/2009,59.36,1364.11
Daily,22/07/2009,59.64,1367.1
Daily,23/07/2009,61.64,1385.79
Daily,24/07/2009,62.46,1387.3
Daily,27/07/2009,62.51,1396.42
Daily,28/07/2009,61.98,1391.68
Daily,29/07/2009,61.02,1387.03
Daily,30/07/2009,63.35,1410.91
Daily,31/07/2009,65.28,1425.4
Daily,03/08/2009,68.34,1460.58
Daily,04/08/2009,68.03,1457.14
Daily,05/08/2009,67.6,1446.87
Daily,06/08/2009,66.65,1452.56
Daily,07/08/2009,66.64,1445.18
Daily,10/08/2009,65.76,1442.28
Daily,11/08/2009,64.87,1434.22
Daily,12/08/2009,66.47,1442.24
Daily,13/08/2009,68.41,1464.94
Daily,14/08/2009,67.2,1458.43
Daily,17/08/2009,62.87,1414.91
Daily,18/08/2009,65.06,1429.09
Daily,19/08/2009,66.03,1434.32
Daily,20/08/2009,67.17,1453.66
Daily,21/08/2009,69.94,1473.47
Daily,24/08/2009,69.9,1495.06
Daily,25/08/2009,71.12,1499.02
Daily,26/08/2009,70.65,1489.98
Daily,27/08/2009,71.74,1483.19
Daily,28/08/2009,71.84,1507.41
Daily,31/08/2009,70.71,1498.97
Daily,01/09/2009,67.16,1478.25
Daily,02/09/2009,67.09,1462.06
Daily,03/09/2009,68.21,1461.47
Daily,04/09/2009,70.28,1471.12
Daily,08/09/2009,73.07,1520.64
Daily,09/09/2009,74.8,1533.49
Daily,10/09/2009,76.25,1541.09
Daily,11/09/2009,76.01,1552.94
Daily,14/09/2009,76.36,1541.27
Daily,15/09/2009,76.41,1538
Daily,16/09/2009,79.4,1565.24
Daily,17/09/2009,78.28,1580.58
Daily,18/09/2009,78.81,1571.51
Daily,21/09/2009,77.22,1553.61
Daily,22/09/2009,79.49,1575.24
Daily,23/09/2009,78.05,1577.08
Daily,24/09/2009,75.63,1554.09
Daily,25/09/2009,75.03,1542.95
Daily,28/09/2009,77.02,1549.41
Daily,29/09/2009,76.1,1545.54
Daily,30/09/2009,76.18,1552.84
Daily,01/10/2009,72.02,1524.76
Daily,02/10/2009,70.49,1496.75
Daily,05/10/2009,72.46,1502.49
Daily,06/10/2009,75.02,1541.1
Daily,07/10/2009,75.53,1539.76
Daily,08/10/2009,77.78,1567.44
Daily,09/10/2009,77.43,1563.81
Daily,12/10/2009,78.32,1573.34
Daily,13/10/2009,77.98,1566.93
Daily,14/10/2009,81.81,1596.36
Daily,15/10/2009,82.31,1602.32
Daily,16/10/2009,79.89,1586.15
Daily,19/10/2009,82.47,1611.26
Daily,20/10/2009,81.38,1610.48
Daily,21/10/2009,80.84,1617.99
Daily,22/10/2009,82.56,1600.6
Daily,23/10/2009,79.86,1593.8
Daily,26/10/2009,77.43,1576.87
Daily,27/10/2009,76.31,1561.43
Daily,28/10/2009,72.63,1532.75
Daily,29/10/2009,77.21,1548.82
Daily,30/10/2009,71.92,1532.74
Daily,02/11/2009,73.21,1531.92
Daily,03/11/2009,72.73,1509.49
Daily,04/11/2009,74.01,1538.62
Daily,05/11/2009,75.98,1545.48
Daily,06/11/2009,76.34,1553.06
Daily,09/11/2009,80.58,1587.02
Daily,10/11/2009,79.76,1584.77
Daily,11/11/2009,80.13,1591.18
Daily,12/11/2009,77.88,1581.11
Daily,13/11/2009,79.98,1587.96
Daily,16/11/2009,82.52,1612.39
Daily,17/11/2009,81.41,1594.39
Daily,18/11/2009,80.93,1599.24
Daily,19/11/2009,77.85,1568.37
Daily,20/11/2009,76.9,1556.43
Daily,23/11/2009,79.67,1590.7
Daily,24/11/2009,78.82,1576.77
Daily,25/11/2009,81.18,1597.04
Daily,27/11/2009,76.46,1553.26
Daily,30/11/2009,77.14,1559.57
Daily,01/12/2009,81.26,1600.77
Daily,02/12/2009,81.51,1604.86
Daily,03/12/2009,80.93,1612.59
Daily,04/12/2009,80.72,1600.7
Daily,07/12/2009,79.73,1594.5
Daily,08/12/2009,77.04,1574.09
Daily,09/12/2009,76.68,1560.1
Daily,10/12/2009,77.11,1563.64
Daily,11/12/2009,77.09,1563.32
Daily,14/12/2009,78.64,1577.69
Daily,15/12/2009,76.9,1565.94
Daily,16/12/2009,78.65,1584.86
Daily,17/12/2009,75.02,1548.96
Daily,18/12/2009,75.16,1535.58
Daily,21/12/2009,75.65,1550.08
Daily,22/12/2009,76.77,1553.72
Daily,23/12/2009,78.05,1567.79
Daily,24/12/2009,78.87,1574.59
Daily,28/12/2009,79.38,1583.98
Daily,29/12/2009,79.62,1591.62
Daily,30/12/2009,78.98,1573.17
Daily,31/12/2009,77.99,1580.77
Daily,04/01/2010,82.01,1610.99
Daily,05/01/2010,82.37,1615.85
Daily,06/01/2010,82.99,1615.26
Daily,07/01/2010,82.44,1608.36
Daily,08/01/2010,83.76,1617.66
Daily,11/01/2010,85.04,1640.24
Daily,12/01/2010,83.22,1636.12
Daily,13/01/2010,84.68,1628.13
Daily,14/01/2010,85.87,1642.2
Daily,15/01/2010,83.32,1626.76
Daily,19/01/2010,84.96,1627.57
Daily,20/01/2010,80.54,1593.99
Daily,21/01/2010,77.15,1576.31
Daily,22/01/2010,74.2,1565.9
Daily,25/01/2010,75.96,1556.99
Daily,26/01/2010,75,1548.17
Daily,27/01/2010,74.72,1532.07
Daily,28/01/2010,72.29,1517.2
Daily,29/01/2010,70.2,1510.61
Daily,01/02/2010,72.96,1513.57
Daily,02/02/2010,75.29,1536.12
Daily,03/02/2010,73.63,1527.8
Daily,04/02/2010,67.58,1488.6
Daily,05/02/2010,66.37,1451.53
Daily,08/02/2010,64.78,1458
Daily,09/02/2010,68.75,1461.46
Daily,10/02/2010,67.95,1464.88
Daily,11/02/2010,69.25,1465.46
Daily,12/02/2010,68.12,1465.74
Daily,16/02/2010,71.27,1484.76
Daily,17/02/2010,71.46,1502.9
Daily,18/02/2010,72.28,1505.76
Daily,19/02/2010,71.34,1490.05
Daily,22/02/2010,71.63,1507.97
Daily,23/02/2010,69.55,1497.78
Daily,24/02/2010,70.48,1496.88
Daily,25/02/2010,69.66,1473.84
Daily,26/02/2010,70.61,1497.34
Daily,01/03/2010,71.8,1498.76
Daily,02/03/2010,72.79,1516.31
Daily,03/03/2010,74.58,1537.86
Daily,04/03/2010,74.04,1527.84
Daily,05/03/2010,77.07,1544.99
Daily,08/03/2010,77.19,1557.44
Daily,09/03/2010,76.74,1553.36
Daily,10/03/2010,77.55,1562.32
Daily,11/03/2010,78.15,1563.33
Daily,12/03/2010,79.12,1574.25
Daily,15/03/2010,78.02,1559.59
Daily,16/03/2010,80.09,1577.63
Daily,17/03/2010,80.87,1592.68
Daily,18/03/2010,79.89,1578.6
Daily,19/03/2010,78.26,1572.09
Daily,22/03/2010,78.91,1571.3
Daily,23/03/2010,80.02,1578.99
Daily,24/03/2010,77.38,1560.54
Daily,25/03/2010,77.15,1567.06
Daily,26/03/2010,78.55,1572.26
Daily,29/03/2010,80.02,1580.52
Daily,30/03/2010,79.88,1581.38
Daily,31/03/2010,79.96,1584.28
Daily,01/04/2010,82.67,1602.65
Daily,05/04/2010,83.07,1602.13
Daily,06/04/2010,82.57,1601.25
Daily,07/04/2010,81.21,1598.85
Daily,08/04/2010,81.29,1587.86
Daily,09/04/2010,83.3,1609.68
Daily,12/04/2010,83.85,1624.04
Daily,13/04/2010,83.7,1614.73
Daily,14/04/2010,85.87,1630.33
Daily,15/04/2010,85.65,1636.19
Daily,16/04/2010,81.91,1612.57
Daily,19/04/2010,81.51,1591.93
Daily,20/04/2010,82.55,1604.62
Daily,21/04/2010,81.35,1598.57
Daily,22/04/2010,79.87,1575.1
Daily,23/04/2010,81.03,1580.98
Daily,26/04/2010,81.1,1597.1
Daily,27/04/2010,74.66,1565.8
Daily,28/04/2010,74.63,1533.25
Daily,29/04/2010,76.73,1548.39
Daily,30/04/2010,74.89,1551.03
Daily,03/05/2010,75.69,1540.18
Daily,04/05/2010,69.88,1496.85
Daily,05/05/2010,67,1472.87
Daily,06/05/2010,61.17,1435.69
Daily,07/05/2010,60.87,1391.29
Daily,10/05/2010,68.82,1469.54
Daily,11/05/2010,66.52,1448.75
Daily,12/05/2010,68.02,1460.63
Daily,13/05/2010,66.14,1465.13
Daily,14/05/2010,62.47,1417.82
